is_in_season,natural_disruption,year,month,day,avg_retail_price,productname_Asparagus,productname_Avocados,productname_Broccoli Bunches,productname_Broccoli Crowns,productname_Cantaloupe,productname_Carrots,productname_Cauliflower,productname_Celery,productname_Flame Grapes,productname_Green Leaf Lettuce,productname_Honeydews,productname_Iceberg Lettuce,productname_Nectarines,productname_Oranges,productname_Peaches,productname_Plums,productname_Potatoes,productname_Red Leaf Lettuce,productname_Romaine Lettuce,productname_Strawberries,productname_Thompson Grapes,productname_Tomatoes
True,False,2019,5,19,6.9925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,2019,5,19,6.1175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,2019,5,19,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,2019,5,19,17.0875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,False,2019,5,19,5.1775,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,2019,5,19,5.045,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,False,2019,5,19,5.637499999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,2019,5,19,7.652500000000001,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,2019,5,19,12.0625,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,2019,5,19,3.3950000000000005,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,2019,5,19,9.11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,2019,5,19,6.01,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,2019,5,19,5.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
